"State","Year","Children Age 12 or Younger at Entry (%)","Children Older than 12 Years at Entry (%)","Missing Data (%)","Number of Children Exiting to Emancipation"
"Alabama","2020","10.5","89.5","0.0","334"
"Alaska","2020","14.2","85.8","0.0","106"
"Arizona","2020","11.5","88.5","0.0","506"
"Arkansas","2020","19.8","80.2","0.0","227"
"California","2020","20.4","79.6","0.0","3,025"
"Colorado","2020","8.1","91.9","0.0","185"
"Connecticut","2020","62.9","37.1","0.0","89"
"Delaware","2020","24.4","75.6","0.0","82"
"District of Columbia","2020","13.0","87.0","0.0","46"
"Florida","2020","6.4","93.6","0.0","720"
"Georgia","2020","15.2","84.8","0.0","650"
"Hawaii","2020","6.0","94.0","0.0","100"
"Idaho","2020","7.7","92.3","0.0","78"
"Illinois","2020","30.8","69.2","0.0","522"
"Indiana","2020","11.7","88.3","0.0","308"
"Iowa","2020","15.1","84.9","0.0","192"
"Kansas","2020","14.5","85.5","0.0","435"
"Kentucky","2020","10.4","89.6","0.0","689"
"Louisiana","2020","15.1","84.9","0.0","152"
"Maine","2020","40.0","60.0","0.0","45"
"Maryland","2020","DQ*","DQ*","DQ*","DQ*"
"Massachusetts","2020","17.3","82.7","0.0","729"
"Michigan","2020","11.2","88.8","0.0","554"
"Minnesota","2020","14.8","85.2","0.0","406"
"Mississippi","2020","28.6","71.4","0.0","56"
"Missouri","2020","22.9","77.1","0.0","599"
"Montana","2020","23.0","77.0","0.0","100"
"Nebraska","2020","6.8","93.2","0.0","103"
"Nevada","2020","15.9","84.1","0.0","164"
"New Hampshire","2020","6.0","94.0","0.0","50"
"New Jersey","2020","17.9","81.6","0.5","201"
"New Mexico","2020","32.2","67.8","0.0","90"
"New York","2020","8.4","91.6","0.0","1,588"
"North Carolina","2020","18.7","81.3","0.0","411"
"North Dakota","2020","13.6","81.8","4.5","22"
"Ohio","2020","8.3","91.7","0.0","1,265"
"Oklahoma","2020","25.0","75.0","0.0","164"
"Oregon","2020","21.0","79.0","0.0","276"
"Pennsylvania","2020","7.2","92.8","0.0","895"
"Puerto Rico","2020","0.0","100.0","0.0","5"
"Rhode Island","2020","8.1","91.9","0.0","148"
"South Carolina","2020","12.1","87.9","0.0","273"
"South Dakota","2020","15.6","84.4","0.0","77"
"Tennessee","2020","5.0","95.0","0.0","423"
"Texas","2020","21.0","79.0","0.0","1,229"
"Utah","2020","9.4","90.6","0.0","139"
"Vermont","2020","13.8","86.2","0.0","58"
"Virginia","2020","10.7","89.0","0.4","544"
"Washington","2020","14.8","85.2","0.0","183"
"West Virginia","2020","8.0","92.0","0.0","87"
"Wisconsin","2020","10.5","89.5","0.0","373"
"Wyoming","2020","28.6","71.4","0.0","14"